temp_id,id,nmbr_f_,center_x,center_y
110,2416-85-10,0,116.524999999996,20.7291675165788
111,2416-85-11,0,116.574999999995,20.7291675165789
112,2416-86-10,3,116.625000000005,20.7291675165783
113,2416-86-11,6,116.675000000003,20.7291675165783
114,2416-87-10,993,116.724999999994,20.7291675165787
115,2416-87-11,146,116.775000000005,20.7291675165807
116,2416-88-10,215,116.824999999997,20.7291675165849
117,2416-88-11,49,116.874999999998,20.7291675165808
118,2416-89-10,32,116.925000000003,20.7291675165769
119,2416-89-11,0,116.975,20.7291675165783
120,2417-80-10,0,117.025000000003,20.7291675165808
121,2417-80-11,0,117.074999999996,20.7291675165801
122,2417-81-10,0,117.125000000003,20.7291675165793
123,2416-94-01,0,116.474999999997,20.7708341841222
124,2416-95-00,0,116.524999999996,20.7708341841192
